Story	BayID	SecID	StnLoc	Status	AsTopCombo	AsMinTop	AsTop	AsBotCombo	AsMinBot	AsBot	VCombo	VRebar	TLngCombo	TLngRebar	TTrnCombo	TTrnRebar	ErrMsg	WarnMsg
7F	B81	B80X130C280	     0.500	No Message	USS07	    0.003134	    0.007363	USS45	    0.003134	    0.005464	USS74S	    0.003439	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     0.600	No Message	USS07	    0.003134	    0.007110	USS45	    0.003134	    0.005342	USS74S	    0.003427	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     0.700	No Message	USS07	    0.003134	    0.006860	USS45	    0.003134	    0.005219	USS74S	    0.003416	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     0.800	No Message	USS07	    0.003134	    0.006613	USS45	    0.003134	    0.005097	USS74S	    0.003403	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     0.900	No Message	USS07	    0.003134	    0.006367	USS45	    0.003134	    0.004973	USS74S	    0.003390	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.000	No Message	USS07	    0.003134	    0.006125	USS45	    0.003134	    0.004850	USS74S	    0.003377	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.100	No Message	USS07	    0.003134	    0.005885	USS45	    0.003134	    0.004726	USS74S	    0.003363	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.200	No Message	USS07	    0.003134	    0.005647	USS45	    0.003134	    0.004602	USS74S	    0.003349	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.300	No Message	USS07	    0.003134	    0.005411	USS45	    0.003134	    0.004477	USS74S	    0.003334	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.400	No Message	USS07	    0.003134	    0.005179	USS45	    0.003134	    0.004352	USS74S	    0.003319	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.500	No Message	USS07	    0.003134	    0.004948	USS45	    0.003134	    0.004226	USS74S	    0.003303	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.600	No Message	USS07	    0.003134	    0.004720	USS45	    0.003134	    0.004100	USS74S	    0.003287	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.700	No Message	USS07	    0.003134	    0.004495	USS45	    0.003134	    0.003974	USS74S	    0.003270	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.800	No Message	USS07	    0.003134	    0.004272	USS45	    0.003134	    0.003846	USS74S	    0.003253	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     1.900	No Message	USS07	    0.003134	    0.004052	USS45	    0.003134	    0.003719	USS74S	    0.003236	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.000	No Message	USS07	    0.003134	    0.003834	USS45	    0.003134	    0.003591	USS74S	    0.003218	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.100	No Message	USS07	    0.003134	    0.003618	USS45	    0.003134	    0.003462	USS74S	    0.003200	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.200	No Message	USS07	    0.003134	    0.003405	USS45	    0.003134	    0.003333	USS74S	    0.003181	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.300	No Message	USS15	    0.003134	    0.003196	USS37	    0.003134	    0.003205	USS74S	    0.003162	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.400	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003143	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.500	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003125	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.600	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003108	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.700	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003091	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.800	No Message	USS47	    0.003042	    0.003042	USS77S	    0.003134	    0.003134	USS74S	    0.003074	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     2.900	No Message	USS47	    0.002807	    0.002807	USS77S	    0.003134	    0.003134	USS74S	    0.003058	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.000	No Message	USS47	    0.002574	    0.002574	USS69S	    0.003134	    0.003134	USS74S	    0.003042	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.100	No Message	USS47	    0.002343	    0.002343	USS05	    0.003087	    0.003087	USS74S	    0.003027	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.200	No Message	USS07	    0.002322	    0.002322	USS05	    0.002934	    0.002934	USS74S	    0.003012	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.300	No Message	USS07	    0.002322	    0.002322	USS05	    0.002780	    0.002780	USS74S	    0.002998	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.400	No Message	USS07	    0.002322	    0.002322	USS05	    0.002625	    0.002625	USS74S	    0.002984	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.500	No Message	USS07	    0.002322	    0.002322	USS05	    0.002469	    0.002469	USS74S	    0.002971	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.600	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002958	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.700	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002946	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.800	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002934	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     3.900	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002922	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.000	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002911	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.100	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002901	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.200	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002891	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.300	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002881	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.400	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002872	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.400	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002805	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.500	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002814	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.600	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002824	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.700	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002834	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.800	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002844	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     4.900	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002855	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.000	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002867	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.100	No Message	USS07	    0.002322	    0.002322	USS07	    0.002322	    0.002322	USS74S	    0.002879	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.200	No Message	USS07	    0.002322	    0.002322	USS07	    0.002372	    0.002372	USS74S	    0.002891	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.300	No Message	USS07	    0.002322	    0.002322	USS07	    0.002537	    0.002537	USS74S	    0.002904	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.400	No Message	USS07	    0.002322	    0.002322	USS07	    0.002701	    0.002701	USS74S	    0.002917	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.500	No Message	USS07	    0.002322	    0.002322	USS07	    0.002863	    0.002863	USS74S	    0.002931	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.600	No Message	USS07	    0.002322	    0.002322	USS07	    0.003025	    0.003025	USS74S	    0.002945	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.700	No Message	USS07	    0.002322	    0.002322	USS69S	    0.003134	    0.003134	USS74S	    0.002960	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.800	No Message	USS45	    0.002542	    0.002542	USS69S	    0.003134	    0.003134	USS74S	    0.002975	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     5.900	No Message	USS45	    0.002772	    0.002772	USS77S	    0.003134	    0.003134	USS74S	    0.002991	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.000	No Message	USS45	    0.003004	    0.003004	USS77S	    0.003134	    0.003134	USS74S	    0.003007	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.100	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003024	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.200	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003041	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.300	No Message	USS77S	    0.003134	    0.003134	USS77S	    0.003134	    0.003134	USS74S	    0.003058	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.400	No Message	USS77S	    0.003134	    0.003134	USS07	    0.003134	    0.003202	USS74S	    0.003076	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.500	No Message	USS45	    0.003134	    0.003145	USS07	    0.003134	    0.003314	USS74S	    0.003095	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.600	No Message	USS45	    0.003134	    0.003328	USS07	    0.003134	    0.003424	USS74S	    0.003114	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.700	No Message	USS37	    0.003134	    0.003513	USS15	    0.003134	    0.003533	USS74S	    0.003132	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.800	No Message	USS37	    0.003134	    0.003701	USS15	    0.003134	    0.003643	USS74S	    0.003151	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     6.900	No Message	USS05	    0.003134	    0.003906	USS47	    0.003134	    0.003766	USS74S	    0.003169	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
7F	B81	B80X130C280	     7.000	No Message	USS05	    0.003134	    0.004119	USS47	    0.003134	    0.003895	USS74S	    0.003186	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
