Story	BayID	SecID	StnLoc	Status	AsTopCombo	AsMinTop	AsTop	AsBotCombo	AsMinBot	AsBot	VCombo	VRebar	TLngCombo	TLngRebar	TTrnCombo	TTrnRebar	ErrMsg	WarnMsg
5F	B222	B60X80C35	     0.450	No Message	USS10	    0.001488	    0.008930	USS48	    0.001488	    0.007460	USS74S	    0.004421	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     0.550	No Message	USS10	    0.001488	    0.008546	USS48	    0.001488	    0.007198	USS74S	    0.004409	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     0.649	No Message	USS10	    0.001488	    0.008169	USS48	    0.001488	    0.006937	USS74S	    0.004396	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     0.749	No Message	USS10	    0.001488	    0.007801	USS48	    0.001488	    0.006679	USS74S	    0.004383	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     0.848	No Message	USS10	    0.001488	    0.007440	USS48	    0.001488	    0.006423	USS74S	    0.004370	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     0.948	No Message	USS10	    0.001488	    0.007086	USS48	    0.001488	    0.006168	USS74S	    0.004356	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     1.047	No Message	USS10	    0.001488	    0.006739	USS48	    0.001488	    0.005916	USS74S	    0.004342	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     1.147	No Message	USS10	    0.001488	    0.006399	USS48	    0.001488	    0.005665	USS74S	    0.004327	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     1.247	No Message	USS10	    0.001488	    0.006065	USS48	    0.001488	    0.005415	USS74S	    0.004312	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
5F	B222	B60X80C35	     1.346	No Message	USS10	    0.001488	    0.005737	USS48	    0.001488	    0.005167	USS74S	    0.004296	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
