Story	BayID	SecID	StnLoc	Status	AsTopCombo	AsMinTop	AsTop	AsBotCombo	AsMinBot	AsBot	VCombo	VRebar	TLngCombo	TLngRebar	TTrnCombo	TTrnRebar	ErrMsg	WarnMsg
4F	B108	B60X80C35	     0.450	No Message	USS11	    0.001488	    0.008101	USS49	    0.001488	    0.006224	USS74S	    0.004153	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     0.549	No Message	USS11	    0.001488	    0.007759	USS49	    0.001488	    0.006021	USS74S	    0.004141	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     0.648	No Message	USS11	    0.001488	    0.007424	USS49	    0.001488	    0.005818	USS74S	    0.004129	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     0.748	No Message	USS11	    0.001488	    0.007095	USS49	    0.001488	    0.005617	USS74S	    0.004116	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     0.847	No Message	USS11	    0.001488	    0.006772	USS49	    0.001488	    0.005416	USS74S	    0.004103	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     0.946	No Message	USS11	    0.001488	    0.006455	USS49	    0.001488	    0.005216	USS74S	    0.004089	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.045	No Message	USS11	    0.001488	    0.006144	USS49	    0.001488	    0.005017	USS74S	    0.004075	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.144	No Message	USS11	    0.001488	    0.005838	USS49	    0.001488	    0.004818	USS74S	    0.004060	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.243	No Message	USS11	    0.001488	    0.005537	USS49	    0.001488	    0.004620	USS74S	    0.004045	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.343	No Message	USS11	    0.001488	    0.005242	USS49	    0.001488	    0.004423	USS74S	    0.004029	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.442	No Message	USS11	    0.001488	    0.004951	USS49	    0.001488	    0.004226	USS74S	    0.004012	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.541	No Message	USS11	    0.001488	    0.004666	USS49	    0.001488	    0.004030	USS74S	    0.003996	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.640	No Message	USS11	    0.001488	    0.004385	USS49	    0.001488	    0.003834	USS74S	    0.003979	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.739	No Message	USS11	    0.001488	    0.004109	USS49	    0.001488	    0.003638	USS74S	    0.003962	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.839	No Message	USS11	    0.001488	    0.003837	USS49	    0.001488	    0.003444	USS74S	    0.003945	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     1.938	No Message	USS11	    0.001488	    0.003569	USS49	    0.001488	    0.003249	USS74S	    0.003929	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.037	No Message	USS11	    0.001488	    0.003306	USS49	    0.001488	    0.003055	USS74S	    0.003912	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.136	No Message	USS11	    0.001488	    0.003047	USS49	    0.001488	    0.002862	USS74S	    0.003895	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.235	No Message	USS11	    0.001488	    0.002791	USS49	    0.001488	    0.002669	USS74S	    0.003878	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.334	No Message	USS11	    0.001488	    0.002540	USS49	    0.001488	    0.002476	USS74S	    0.003862	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.434	No Message	USS11	    0.001488	    0.002292	USS49	    0.001488	    0.002284	USS74S	    0.003845	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.533	No Message	USS51	    0.001488	    0.002051	USS09	    0.001488	    0.002095	USS74S	    0.003828	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.632	No Message	USS51	    0.001488	    0.001820	USS09	    0.001488	    0.001914	USS74S	    0.003811	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.731	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003795	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.830	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003778	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     2.930	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003761	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.029	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003744	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.128	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003728	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.227	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003711	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.326	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003694	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.425	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003677	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.525	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003661	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.624	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003644	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.723	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003627	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.822	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003610	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     3.921	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003594	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.020	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003577	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.120	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003560	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.219	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001804	USS74S	    0.003543	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.318	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.001940	USS74S	    0.003527	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.417	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.002156	USS74S	    0.003510	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.516	No Message	USS11	    0.001488	    0.001804	USS11	    0.001488	    0.002373	USS74S	    0.003493	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.616	No Message	USS49	    0.001488	    0.001982	USS11	    0.001488	    0.002591	USS74S	    0.003476	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.715	No Message	USS49	    0.001488	    0.002194	USS11	    0.001488	    0.002808	USS82S	    0.003463	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.814	No Message	USS49	    0.001488	    0.002408	USS11	    0.001488	    0.003026	USS82S	    0.003475	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     4.913	No Message	USS49	    0.001488	    0.002625	USS11	    0.001488	    0.003244	USS74S	    0.003489	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.012	No Message	USS49	    0.001488	    0.002845	USS11	    0.001488	    0.003463	USS74S	    0.003506	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.111	No Message	USS49	    0.001488	    0.003068	USS11	    0.001488	    0.003682	USS74S	    0.003523	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.211	No Message	USS49	    0.001488	    0.003293	USS11	    0.001488	    0.003901	USS74S	    0.003540	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.310	No Message	USS49	    0.001488	    0.003521	USS11	    0.001488	    0.004121	USS74S	    0.003556	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.409	No Message	USS49	    0.001488	    0.003753	USS11	    0.001488	    0.004341	USS74S	    0.003573	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.508	No Message	USS49	    0.001488	    0.003987	USS11	    0.001488	    0.004561	USS74S	    0.003589	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.607	No Message	USS49	    0.001488	    0.004224	USS11	    0.001488	    0.004782	USS74S	    0.003605	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.707	No Message	USS49	    0.001488	    0.004465	USS11	    0.001488	    0.005004	USS74S	    0.003621	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.806	No Message	USS49	    0.001488	    0.004709	USS11	    0.001488	    0.005226	USS74S	    0.003635	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     5.905	No Message	USS49	    0.001488	    0.004956	USS11	    0.001488	    0.005448	USS74S	    0.003650	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     6.004	No Message	USS49	    0.001488	    0.005207	USS11	    0.001488	    0.005672	USS74S	    0.003664	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     6.103	No Message	USS49	    0.001488	    0.005461	USS11	    0.001488	    0.005896	USS74S	    0.003677	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     6.202	No Message	USS49	    0.001488	    0.005719	USS11	    0.001488	    0.006121	USS74S	    0.003690	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     6.302	No Message	USS49	    0.001488	    0.005980	USS11	    0.001488	    0.006347	USS74S	    0.003702	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     6.401	No Message	USS49	    0.001488	    0.006245	USS11	    0.001488	    0.006574	USS74S	    0.003714	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B108	B60X80C35	     6.500	No Message	USS49	    0.001488	    0.006514	USS11	    0.001488	    0.006802	USS74S	    0.003725	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.350	No Message	USS51	    0.001552	    0.006693	USS09	    0.001552	    0.007341	USS74S	    0.005028	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.441	No Message	USS51	    0.001552	    0.006365	USS09	    0.001552	    0.007040	USS74S	    0.005018	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.532	No Message	USS51	    0.001552	    0.006041	USS09	    0.001552	    0.006741	USS74S	    0.005007	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.623	No Message	USS51	    0.001552	    0.005722	USS09	    0.001552	    0.006446	USS74S	    0.004997	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.714	No Message	USS51	    0.001552	    0.005408	USS09	    0.001552	    0.006153	USS74S	    0.004988	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.805	No Message	USS51	    0.001552	    0.005098	USS09	    0.001552	    0.005862	USS74S	    0.004978	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.896	No Message	USS51	    0.001552	    0.004792	USS09	    0.001552	    0.005574	USS74S	    0.004970	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.987	No Message	USS51	    0.001552	    0.004490	USS09	    0.001552	    0.005289	USS74S	    0.004961	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     0.987	No Message	USS51	    0.001552	    0.004490	USS09	    0.001552	    0.005289	USS74S	    0.004889	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.087	No Message	USS51	    0.001552	    0.004179	USS09	    0.001552	    0.004953	USS74S	    0.004899	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.187	No Message	USS51	    0.001552	    0.003872	USS09	    0.001552	    0.004621	USS74S	    0.004908	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.287	No Message	USS51	    0.001552	    0.003569	USS09	    0.001552	    0.004292	USS74S	    0.004919	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.387	No Message	USS51	    0.001552	    0.003270	USS09	    0.001552	    0.003966	USS74S	    0.004929	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.487	No Message	USS51	    0.001552	    0.002975	USS09	    0.001552	    0.003643	USS74S	    0.004941	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.587	No Message	USS51	    0.001552	    0.002683	USS09	    0.001552	    0.003323	USS74S	    0.004952	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.687	No Message	USS51	    0.001552	    0.002395	USS09	    0.001552	    0.003006	USS74S	    0.004965	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.787	No Message	USS51	    0.001552	    0.002111	USS09	    0.001552	    0.002690	USS74S	    0.004977	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.887	No Message	USS51	    0.001552	    0.001830	USS09	    0.001552	    0.002378	USS74S	    0.004990	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     1.987	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.002067	USS74S	    0.005004	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.087	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005018	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.187	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005031	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.287	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005044	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.387	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005056	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.487	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005067	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.587	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005079	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.687	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005089	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.787	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005100	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.887	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005109	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.987	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005119	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     2.987	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005347	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     3.086	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005355	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     3.184	No Message	USS09	    0.001552	    0.001786	USS09	    0.001552	    0.001786	USS74S	    0.005364	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     3.282	No Message	USS09	    0.001552	    0.001928	USS51	    0.001552	    0.001842	USS74S	    0.005373	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     3.380	No Message	USS09	    0.001552	    0.002263	USS51	    0.001552	    0.002095	USS74S	    0.005382	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     3.478	No Message	USS09	    0.001552	    0.002602	USS51	    0.001552	    0.002351	USS74S	    0.005391	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
4F	B131	6B60X80C350	     3.576	No Message	USS09	    0.001552	    0.002945	USS51	    0.001552	    0.002608	USS74S	    0.005400	USS83S	    0.000000	USS83S	    0.000000	No Message	No Message
