 ELASTIC RESPONSE SPECTRUM CALCULATION


 NUMBER OF DAMPING VALUES      <10    =    1
 NUMBER OF OUTPUT PERIOD CARDS        =    1
 NUMBER OF ACCELERATION VALUES <35000 =15000
 INTERVAL OF DIGITIZATION             =     .0050
 ACCELERATION SCALE FACTOR            =    1.00000


 DAMPING VALUES (FRACTION OF CRITICAL)

           .050
 
 
 DAMPING RATIO =  .050
                                                         PSEUDO       PSEUDO
  PERIOD     DISPLACEMENT    VELOCITY   ACCELERATION    VELOCITY   ACCELERATION
                SD(cm)      SV(cm/sec)       SA(g)    SD*W(cm/sec)   SD*W**2(g)

    .010         .0012         .1913         .4979         .7765         .4973
    .020         .0055         .5418         .5492        1.7132         .5486
    .030         .0142        1.8330         .6359        2.9689         .6338
    .040         .0318        2.3414         .8013        4.9940         .7996
    .050         .0441        3.6841         .7073        5.5361         .7091
    .060         .0680        4.2537         .7601        7.1216         .7602
    .070         .0990        5.3330         .8179        8.8874         .8132
    .080         .1382        6.6067         .8730       10.8530         .8689
    .090         .1728        8.2304         .8617       12.0618         .8584
    .100         .2379       12.8229         .9535       14.9504         .9575
    .110         .3042       12.8465        1.0099       17.3729        1.0115
    .120         .3729       15.5931        1.0489       19.5241        1.0420
    .130         .4542       16.2472        1.0866       21.9528        1.0815
    .140         .5607       21.3409        1.1570       25.1625        1.1511
    .150         .6112       22.6881        1.0999       25.6009        1.0931
    .160         .7227       25.3685        1.1414       28.3789        1.1360
    .170         .8189       28.8408        1.1435       30.2669        1.1403
    .180         .9228       32.0973        1.1498       32.2108        1.1461
    .190         .9944       31.3021        1.1098       32.8824        1.1084
    .200        1.1322       28.8871        1.1450       35.5691        1.1390
    .210        1.2461       31.1029        1.1401       37.2813        1.1370
    .220        1.3602       32.9957        1.1353       38.8452        1.1309
    .230        1.4931       34.3225        1.1429       40.7884        1.1358
    .240        1.6252       36.1891        1.1407       42.5466        1.1354
    .250        1.7265       38.6899        1.1170       43.3897        1.1116
    .260        1.9610       33.4748        1.1707       47.3874        1.1673
    .270        2.0295       35.0842        1.1236       47.2270        1.1203
    .280        2.2182       38.0917        1.1424       49.7755        1.1386
    .290        2.3964       39.9867        1.1503       51.9201        1.1467
    .300        2.5123       39.8259        1.1266       52.6155        1.1233
    .310        2.7332       41.2150        1.1481       55.3958        1.1445
